Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
TANSO-FTS,Thermal And Near infrared Sensor for carbon Observation - Fourier Transform Spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"JAXA (MOE (Japan), NIES (Japan))",Operational,Atmospheric temperature and humidity sounders and atmospheric chemistry,High-resolution nadir-scanning IR spectrometer,CO2 and CH4 distribution.,"0.758 - 0.775 µm, 1.56 - 1.72 µm, 1.92 - 2.08 µm, 5.56 - 14.3 µm","NIR, SWIR, MWIR, TIR",10.5 km,,160 km,,Open Access,HDF5
TANSO-FTS-2,Thermal And Near infrared Sensor for carbon Observation - Fourier Transform Spectrometer-2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"JAXA (MOE (Japan), NIES (Japan))",Proposed,Atmospheric temperature and humidity sounders,High-resolution nadir-scanning IR spectrometer,"CO2, CH4, and CO distribution.","0.758 - 0.775 µm, 1.56 - 1.72 µm, 1.92 - 2.08 µm, 2.30-2.38 µm, 5.56 - 14.3 µm","NIR, SWIR, TIR",smaller than 10.5km,,,,Open Access,HDF5
TBB,Tri-Band Beacon,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
TCISS,TOGA COARE Integrated Sounding System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TDDR,Total-Direct-Diffuse Multichannel Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
TDP,Technological Development Package,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CONAE,Operational,Precision orbit,GNSS receiver,"Develop, test, and operate the Technological Demonstration Package (TDP) for demonstrating a newly developed GPS receiver for position, velocity, and time determination and an Inertia Reference Unit (IRU) to measure inertial angular velocity.",,N/A,,,,,Constrained Access,
TDR,Time Domain Reflectometry Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
TEAMS,Time of Flight Energy Angle Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
TED,Total Energy Detector,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
TELEMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
TELESCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
TEM,TRANSMISSION ELECTRON MICROSCOPY,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
TEMPERATURE LOGGERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
TEMPERATURE PROBES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
TEMPERATURE PROFILERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TEMPERATURE SENSORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
TENSION INFILTROMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
TEOM,Tapered Element Oscillating Microbalance,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
TES,Tropospheric Emission Spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Atmospheric chemistry,High-resolution nadir-scanning IR spectrometer,"3D profiles on a global scale of all infra-red active species from surface to lower stratosphere. Measures greenhouse gas concentrations, tropospheric ozone, acid rain precursors, gas exchange leading to stratospheric ozone depletion.",SWIR-TIR: 3.2 - 15.4 µm,"MWIR, TIR","In limb mode: 2.3 km vertical resolution. In down-looking mode: 50 x 5 km (global), 5 x 0.5 km (local)",,"Limb mode: global: 50 x 180 km, local: 5 x 18 km","Ozone: 20 ppb, Trace gases: 3 - 500 ppb",Open Access,"HDF(Level1) , HDF-EOS (Level-2 and 3)"
TES,Tropospheric Emission Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
TETHERSONDES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TGRS,Transient Gamma-Ray Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
TGSP,Trace Gas Spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Atmospheric chemistry,Medium-resolution spectro-radiometer,Trace gas measurements.,,"VIS, NIR, SWIR",,,,,Constrained Access,
THEMIS-EFI,THEMIS Electric Field Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
THEMIS-ESA,THEMIS Electrostatic Analyzers,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
THEMIS-FGM,Themis Fluxgate Magnetometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
THEMIS-SST,THEMIS Solid State Telescope,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
THEODOLITE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
THEOS MS,THEOS Multi Spectral Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
THEOS MSI,THEOS Multi Spectral Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
THEOS PAN,THEOS Panchromatic Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
THERMISTORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermistors,,,,,,,,,,,,,,
THERMOCOUPLES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermocouples,,,,,,,,,,,,,,
THERMOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermometers,,,,,,,,,,,,,,
THERMOSALINOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
THIR,Temperature-Humidity Infrared Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
THR,THRuster activation system,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
TIDE,Thermal Ion Dynamics Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
TIDE GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
TIDI,TIMED Doppler Interferometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
TIM,Total Irradiance Monitor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Earth radiation budget radiometers,Solar irradiance monitor,Measurement of total solar irradiance directly traceable to SI units with an absolute accuracy of 0.03% and relative accuracy of 0.001% per year.,,N/A,,,"Looks at the sun every orbit, providing 15 measurements per day",,Open Access,
TIM,Total Irradiance Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Visible/Infrared Instruments,,,,,,,,,,,,,,,
TIMAS,Toroidal Imaging Mass-Angle Spectrograph,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
TIMAX,X-Ray Imaging Telescope,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
TIMS,Thermal Infrared Multispectral Scanner,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
TIP,Tiny Atmospheric Photometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
TIR (Oceansat-3/3A),Thermal Infrared Radiometer (Oceansat-3/3A),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Being developed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,TIR and OCM combination will support joint analysis for operational potential fishing zones.,2 bands,TIR,1080 m,1080,1500 km,,Constrained Access,
TIROS-N,TIROS-N OPERATIONAL VERTICAL SOUNDER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TIRS,Thermal Infrared Sensor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,USGS (NASA),Operational,Imaging multi-spectral radiometers (vis/IR),Narrow-band channel IR radiometer,"Measures surface radiance and emittance, lands cover state and change (eg vegetation type). Used as multipurpose imagery for land applications.",TIR 10.5 µm and 12 µm,TIR,100 m,100,185 km,,Open Access,
TIRS,Thermal Infrared Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
TLPCS,Thermoluminescence Photon Counting System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
TLRS,Transportable Laser Ranging Systems,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Laser Ranging,,,,,,,,,,,,,
TM,Thematic Mapper,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
TMI,TRMM Microwave Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,"Measures rainfall rates over oceans (less reliable over land), combined rainfall structure and surface rainfall rates with associated latent heating. Used to produce monthly total rainfall maps over oceans.","Microwave: 10.7 GHz, 19.4 GHz, 21.3 GHz, 37 GHz, and 85.5 GHz",MW,Vertical: 2.5 km approx; Horizontal: 18 km,,790 km,"Liquid water: 3 mg/cm3, Humidity: 3 mg/cm3, Ocean wind speed: 1.5 m/s",Open Access,HDF
TMI,TRMM Microwave Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
TMR,TOPEX Microwave Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
TMRS2,Tower Mounted Radiometer System 2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
TMS,Thematic Mapper Simulator,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
TNK,cold gas TaNK system,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
TNR,Thermopile Net Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
TOC,Total Organic Carbon Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
TOGA RADAR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
TOMS,Total Ozone Mapping Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
Total Precipitation Sensor (Hotplate),,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
TOTCAP,Tropospheric Ozone and Tracers from Commercial Aircraft Platforms,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
TOU,Total Ozone Unit,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TOU/SBUS,Total Ozone Unit & Solar Backscatter Ultraviolet Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (NSMC-CMA, CNSA, CAST)",Operational,Atmospheric temperature and humidity sounders,High-resolution nadir-scanning SW spectrometer,Ozone total column vertical profile measurements.,"TOU: 6 channels in the range 308 - 360 nm, SBUS: in the range 252 - 340 nm",UV,"TOU: 50 km total ozone, SBUS: 200 km total ozone",,"TOU: 3000 km, SBUS: nadir only",50km,Constrained Access,L-1 data: HDF 5.0
TOVS,TIROS Operational Vertical Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
TRACE IMAGING TELESCOPE,Transition Region and Coronal Explorer Telescope,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
TRANSMISSOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
TRANSPARENCY METER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
TRANSPONDERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
TRAPS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Grabbers/Traps/Collectors,,,,,,,,,,,,,,
TRAWL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
TRETYAKOV GAUGE,Tretyakov precipitation gauge,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
TSI,TOTAL SKY IMAGER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
TSIS,Total Solar and Spectral Irradiance Sensor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Being developed,Earth radiation budget radiometers,Solar irradiance monitor,0.2 - 2 µm solar spectral irradiance monitor.,UV - SWIR: 0.2 - 2 µm,"UV, VIS, NIR, SWIR",,,,1.5 w/m2,,
TUBBS TOWS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
TUCKER TRAWLS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
TULLGREN FUNNEL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Grabbers/Traps/Collectors,,,,,,,,,,,,,,
TUNABLE DIODE LASER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
TURBIDITY METERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
UAVSAR,Uninhabited Aerial Vehicle Synthetic Aperture Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
UCN,Ultrafine Condensation Nucleus Counter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
UE,Unifiller-electrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Electrical Meters,,,,,,,,,,,,,,,
UHSAS,Ultra-High Sensitivity Aerosol Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
ULEIS,Ultra Low Energy Isotope Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
ULTRASONIC DEPTH GAUGE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
ULYSSES-FGM,Ulysses Flux Gate Magnetometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
UMKEHR OBSERVATIONS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
UPWARD LOOKING SONAR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
URAP,Unified Radio and Plasma Wave Experiment (Ulysses),GCMD Instruments - Revision: 2014-08-28 16:20:21,Radio Wave Detectors,,,,,,,,,,,,,,,
USIM,Underwater Spectral Irradiance Meter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
USO,Ultra-Stable Oscillator,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
UV OZONE DETECTORS,Ultraviolet Ozone Detectors,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
UV SPECTROMETER,Ultraviolet Ozone Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
UV Spectrometer (GACM),UV Spectrometer (GACM),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"Daytime measurements of O3, NO2, SO2, CH2O, and aerosols.",305 - 320 nm and 500 - 650 nm,"UV, VIS",,,,,Open Access,
UVAS,UVAS (Ultraviolet Visible and near-infrared Atmospheric Sounder),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CDTI,Being developed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"High spatial resolution observations of air quality and climate gases such as ozone (O3), nitrogen dioxide (NO2), sulphur dioxide (SO2), formaldehyde (HCHO) glyoxal (CHO-CHO), and aerosols over selected zones of interest (urban and industrialized areas, mayor motorways, and special events like forest fires, volcano eruption and sand storms). Also measurements of halogenated compounds will be performed, including bromine monoxide (BrO) and iodine monoxide (IO).",UV/VIS 290 - 490 nm,"UV, VIS, NIR","20 km nominal, 10 km zoom.",10000,,trace gas profile 10 - 40%,Constrained Access,
UVCS,Ultraviolet Coronograph Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
UVI,UltraViolet Imager (Polar),GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
UVIC,UV Ion Chamber,GCMD Instruments - Revision: 2014-08-28 16:20:21,Ultraviolet Instruments,,,,,,,,,,,,,,,
UVN,UV-VIS-NIR Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Approved,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"Measurements of atmospheric trace gases, mainly O3, NO2, SO2, H2CO. The product list is not yet approved, the accuracy summary column lists the breakthrough user requirements.","UV-1: 290 - 308 nm, UV-2: 308 - 400 nm, VIS: 400 - 500 nm, NIR: 750 - 775 nm","UV, VIS, NIR","< 5 km at SSP, possibly relaxed to 50 km for wavelengths < 308 nm",,"FOV E-W: 30°W-45°E @ 40°N, N-S: 30°N-65°N","H2CO: 50%, NO2: 50%, O3: 10%, SO2: 50%",Open Access,
UVN (Sentinel-4),UV-visible- near infrared imaging spectrometer (Sentinel-4),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA (EC),Proposed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Supporting atmospheric composition and air quality monitoring services.,"UV-1: 290 - 308 nm, UV-2: 308 - 400 nm, VIS: 400 - 500 nm, NIR: 750 - 775 nm","UV, VIS, NIR","< 5 km at SSP, possibly relaxed to 50 km for wavelengths < 308 nm",,"FOV E-W: 30°W-45°E @ 40°N, N-S: 30°N-65°N",TBD,Open Access,
UVNO,Ultraviolet Nitric Oxide Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
UVNS (Sentinel-5 precursor),Ultra-violet Visible Near-infrared Shortwave-infrared spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"ESA (EC, NSO)",Proposed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Supporting atmospheric composition and air quality monitoring services.,"UV-1: 270 - 300 nm, UV-2: 300 - 400 nm, VIS: 400 - 500 nm, NIR: 710 - 775 nm, SWIR-3: 2305 - 2385 nm","UV, VIS, NIR, SWIR","5 - 15 km at SSP, possibly relaxed to 50 km for wavelengths < 300 nm",,Daily global coverage,TBD,Open Access,
UVNS (Sentinel-5),Ultra-violet Visible Near-infrared Shortwave-infrared spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA (EC),Proposed,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Supporting atmospheric composition and air quality monitoring services.,"UV-1: 270 - 300 nm, UV-2: 300 - 400 nm, VIS: 400 - 500 nm, NIR: 710 - 775 nm, SWIR-1: 1593 - 1672 nm, SWIR-2: 1940 - 2030 nm, SWIR-3: 2305 - 2385 nm","UV, VIS, NIR, SWIR","5 - 15 km at SSP, possibly relaxed to 50 km for wavelengths < 300 nm",,Daily global coverage,TBD,Open Access,
