Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
AltiKa,Ka-band Altimeter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Radar altimeters,Radar altimeter,Sea surface height.,"35.5 - 36 GHz, passive channels (radiometer): 24 (K-band) and 37 (Ka-band) GHz; active radar altimeter: 35 GHz (Ka-band)","MW, Ka-Band, K-Band",,,,,Constrained Access,
ALTIMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
ALTUS DATA COLLECTION SYSTEM,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
AMI,Active Microwave Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
AMMR,Airborne Multichannel Microwave Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
AMMS,Advanced Microwave Moisture Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
AMPR,Advanced Microwave Precipitation Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
AMPTE/IRM MAGNETOMETER,AMPTE/IRM Three-axis Fluxgate Magnetometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
AMR,Advanced Microwave Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Imaging multi-spectral radiometers (passive microwave),Non-scanning MW radiometer,Altimeter data to correct for errors caused by water vapour and cloud-cover. Also measures total water vapour and brightness temperature.,"Microwave: 18.7 GHz, 23.8 GHz, 34 GHz",MW,"41.6 km at 18.7 GHz, 36.1 km at 23.8 GHz, 22.9 km at 34 GHz",,120 deg cone centred on nadir,"Total water vapour: 0.2 g/sq cm, Brightness temperature: 0.15 K",Open Access,NetCDF
AMR,Advanced Microwave Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
AMS,ACCELERATOR MASS SPECTROMETERS,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
AMSR,Advanced Microwave Scanning Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
